SID,age,sex,experimenter,location,language,exclude,exclude_reason,last_successful,error,prompt,after_prompt,initial_highest,final_highest,special_count,note,exclude_trial,exclude_trial_reason,double_coded
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,28,27,29,29,28,113,0,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,49,30,50,51,28,113,1,Child started from 1,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,59,30,60,61,28,113,0,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,69,30,70,71,28,113,0,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,79,IDK,80,81,28,113,0,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,109,46,110,111,28,113,0,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,113,IDK,114,IDK,28,113,0,,,,RMS
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,29,40,30,31,29,48,0,,,,RMS
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,39,IDK,40,41,29,48,0,,,,RMS
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,48,IDK,49,IDK,29,48,0,,,,RMS
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,109,1000,110,1000,109,109,0,,,,RMS
022818-AK,5.839835729,F,KG,Gillispie,English,1,wanted to stop playing,109,IDK,110,111,109,121,0,,,,SL
022818-BH,5.278576318,M,RMS,Gillispie,English,0,,16,18,17,19,16,58,0,,,,KG
022818-BH,6.278576318,M,RMS,Gillispie,English,0,,27,idk,28,29,16,58,0,,,,KG
022818-BH,7.278576318,M,RMS,Gillispie,English,0,,39,idk,40,41,16,58,0,,,,KG
022818-BH,8.278576318,M,RMS,Gillispie,English,0,,46,470,47,48,16,58,0,,,,KG
022818-BH,9.278576318,M,RMS,Gillispie,English,0,,49,idk,50,51,16,58,0,,,,KG
022818-BH,10.27857632,M,RMS,Gillispie,English,0,,58,idk,59,idk,16,58,0,"Child could not continue after prompt, RMS prompted a few more but are not included because of that ",,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,39,50,40,41,39,109,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,49,90,50,51,39,109,0,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,59,70,60,61,39,109,0,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,69,80,70,71,39,109,0,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,99,20,100,101,39,109,0,,,,KG
022818-CA,4.955509925,M,RMS,Gillispie,English,0,,109,infinity,110,101,39,109,0,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,14,19,15,1,14,69,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,11,13,12,1,14,69,0,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,13,idk,14,15,14,69,0,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,39,70,40,41,14,69,0,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,49,70,50,41,14,69,0,,,,KG
022818-DB,5.492128679,M,RMS,Gillispie,English,0,,69,79,70,80,14,69,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,49,idk,50,51,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,59,40,60,,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,65,67,66,67,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,69,idk,70,71,49,76,0,,,,KG
022818-ED,4.810403833,M,VM,Gillispie,English,1,Experimentor error in SF,76,,,,49,76,0,Child asked to stop,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,20,idk,21,22,20,39,0,,,,KG
022818-EW,4.887063655,M,VM,Gillispie,English,1,Experimentor error in SF,39,idk,40,,20,39,0,"Child asked to stop, VM prompted a few more but are not included because of that",,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,49,idk,50,51,49,59,0,No video/ the format entered in data sheet is different in that the prompt encouraging children to count it included,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,59,idk,NA,,49,59,0,,,,KG
022818-JB,5.609856263,M,KG,Gillispie,English,0,,29,50,30,31,29,42,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,39,12,40,41,29,42,0,,,,SL
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,97,99,NA,,97,114,0,"Experimetor error, did not catch error",,,KG
022818-MC,5.034907598,M,VM,Gillispie,English,1,Experimentor error in SF,114,,,,97,114,0,Child asked to stop,,,KG
022818-MH,4.331279945,F,KG,Gillispie,English,0,,19,21,20,21,19,34,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,29,22,30,31,19,34,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,33,44,34,45,19,34,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,27,30,28,29,27,75,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,29,20-10,30,31,27,75,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,39,38,40,41,27,75,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,49,20,50,51,27,75,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,59,50-10,60,61,27,75,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,69,60-10,70,71,27,75,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,75,78,76,IDK,27,75,0,,,,SL
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,11,,prompt,12,11,14?,0,Experimentor prompt was unclear. No video to double check,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,12,,13,NA,12,14?,0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,13,,14,NA,13,14?,0,,,,KG
022818-TK,4.249144422,M,KG,Gillispie,English,0,,15,17,16,17,15,19,0,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,19,25,20,30,15,19,0,,,,SL
032218-AM,4.92539357,F,RMS,Northminster,English,0,,29,90,31,31,29,109,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,39,90,40,41,29,109,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,49,90,50,51,29,109,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,59,90,60,61,29,109,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,69,90,70,71,29,109,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,71,73,72,73,29,109,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,79,90,80,81,29,109,0,,,,KG
032218-AM,4.92539357,F,RMS,Northminster,English,0,,109,idk,110,101,29,109,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,115,idk,116,117,115,120,0,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,120,,,,115,120,0,,,,KG
032218-ER,4.19438741,F,RMS,Northminster,English,1,did not finish game,29,idk,30,31,29,31,0,Child asked to stop,,,KG
032218-LM,4.17522245,F,RMS,Northminster,English,0,,12,15,13,1,12,25,1,counted from 1,,,KG
032218-LM,4.17522245,F,RMS,Northminster,English,0,,10,9,11,1,12,25,1,counted from 1,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,25,,,,12,25,0,child asked to stop,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,35,37,36,37,37,120,0,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,118,idk,119,120,37,120,0,,,,KG
040418-JO,4.156057495,F,KG,Gillispie,English,0,,14,16,15,done,14,14,1,"after prompt, started counting from 20 but KG corrected the child and the child started counting from 38",,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,28,90,29,29,28,28,0,,,,SL
