SID,age,sex,experimenter,location,language,exclude,exclude_reason,last_successful,error,prompt,after_prompt,initial_highest,final_highest,special_count,error_num,productive,note,exclude_trial,exclude_trial_reason,double_coded
020918-JB,4.925393566,M,KG,Lab,English,0,,29,40,30,31,29,48,0,1,nonproductive,,,,RMS
020918-JB,4.925393566,M,KG,Lab,English,0,,39,IDK,40,41,29,48,0,2,nonproductive,,,,RMS
020918-JB,4.925393566,M,KG,Lab,English,0,,48,IDK,49,IDK,29,48,0,3,nonproductive,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,0,,28,27,29,29,28,113,0,1,productive,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,0,,49,30,50,51,28,113,1,2,productive,Child started from 1,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,0,,59,30,60,61,28,113,0,3,productive,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,0,,69,30,70,71,28,113,0,4,productive,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,0,,79,IDK,80,81,28,113,0,5,productive,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,0,,109,46,110,111,28,113,0,6,productive,,,,RMS
020918-CZ,4.421629021,F,KG,Lab,English,0,,113,IDK,114,IDK,28,113,0,7,productive,,,,RMS
021618-CC,5.013004791,F,KG,Lab,English,0,,109,1000,110,1000,109,109,0,1,nonproductive,,,,RMS
022818-JB,5.609856263,M,KG,Gillispie,English,0,,29,50,30,31,29,42,0,1,nonproductive,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,39,12,40,41,29,42,0,2,nonproductive,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,19,21,20,21,19,34,0,1,nonproductive,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,29,22,30,31,19,34,0,2,nonproductive,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,33,44,34,45,19,34,0,3,nonproductive,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,27,30,28,29,27,75,0,1,productive,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,29,20-10,30,31,27,75,0,2,productive,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,39,38,40,41,27,75,0,3,productive,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,49,20,50,51,27,75,0,4,productive,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,59,50-10,60,61,27,75,0,5,productive,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,69,60-10,70,71,27,75,0,6,productive,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,75,78,76,IDK,27,75,0,7,productive,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,15,17,16,17,15,19,0,1,nonproductive,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,19,25,20,30,15,19,0,2,nonproductive,,,,SL
022818-AK,5.839835729,F,KG,Gillispie,English,1,,109,IDK,110,111,109,120,0,1,productive,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,28,90,29,29,28,28,0,1,nonproductive,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,14,16,15,done,14,14,1,1,nonproductive,"after prompt, started counting from 20 but KG corrected the child and the child started counting from 38",,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,100,102,101,102,100,109,0,1,nonproductive,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,109,111,110,30-100,100,109,1,2,nonproductive,"after prompt started to count from 1; skipped numbers, but can't tell if correct count",,,RMS
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,109,IDK,110,11 - 100,109,109,0,1,nonproductive,,,,RMS
041218-EC,5.533196441,F,KG,FUMCCV,English,0,,29,40,30,32,29,29,1,1,nonproductive,"after prompt,  started from 1",,,RMS
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,69,IDK,70,71,69,109,0,1,productive,child asked to stop,,,RMS
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,79,IDK,80,81,69,109,0,2,productive,,,,RMS
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,89,IDK,90,91,69,109,0,3,productive,child asked to stop,,,RMS
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,99,IDK,100,101,69,109,0,4,productive,,,,RMS
041218-AF,4.531143053,F,KG,FUMCCV,English; some Italian,0,,109,IDK,110,IDK,69,109,0,5,productive,,,,RMS
041218-CL,5.01026694,M,KG,FUMCCV,English,0,,27,29,28,29,27,39,0,1,nonproductive,,,,RMS
