SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,problem,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,1,1+1,2,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,2,5+1,15,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,3,21+1,21,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,4,64+1,64,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,5,57+1,57,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,6,86+1,86,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,7,32+1,33,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,8,93+1,93,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,1,pilot data,9,20+1,20,0,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,1,1+1,2,1,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,2,5+1,6,1,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,3,21+1,2,0,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,4,64+1,4,0,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,5,57+1,7,0,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,6,86+1,86,0,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,7,32+1,IDK,NA,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,8,93+1,IDK,NA,,,,SL
020918-JB2,4.925393566,M,KG,Lab,English,1,pilot data,9,20+1,28,0,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,1,1+1,2,1,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,2,5+1,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,3,21+1,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,4,64+1,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,5,57+1,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,6,86+1,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,7,32+1,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,8,93+1,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,1,pilot data,9,20+1,NA,NA,,,,SL
022818-BH,10.27857632,M,RMS,Gillispie,English,0,,1,1+1,idk,0,,,,KG
