SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,num_queried,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
020918-JB,4.925393566,M,KG,Lab,English,0,,1,1,2,1,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,2,7,8,0,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,3,26,8,0,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,4,30,34,0,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,5,62,80,0,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,6,83,87,0,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,7,95,94,0,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,8,71,60,0,,,,SL
020918-JB,4.925393566,M,KG,Lab,English,0,,9,24,28,0,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,1,1,2,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,2,7,8,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,3,26,27,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,4,30,31,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,5,62,63,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,6,83,84,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,7,95,96,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,8,71,73,1,,,,SL
020918-CZ,4.421629021,F,KG,Lab,English,0,,9,24,25,1,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,1,1,2,1,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,2,7,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,3,26,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,4,30,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,5,62,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,6,83,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,7,95,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,8,71,NA,NA,,,,SL
021618-CC,5.013004791,F,KG,Lab,English,0,,9,24,NA,NA,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,1,1,2,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,2,7,8,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,3,26,28,0,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,4,30,31,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,5,62,63,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,6,83,84,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,7,95,96,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,8,71,72,1,,,,SL
022818-JB,5.609856263,M,KG,Gillispie,English,0,,9,24,25,1,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,1,1,2,1,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,2,7,IDK,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,3,26,24,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,4,30,42,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,5,62,41,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,6,83,IDK,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,7,95,IDK,0,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,8,71,72,1,,,,SL
022818-MH,4.331279945,F,KG,Gillispie,English,0,,9,24,24,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,1,1,2,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,2,7,8,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,3,26,27,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,4,30,31,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,5,62,63,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,6,83,84,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,7,95,96,1,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,8,71,78,0,,,,SL
022818-OT,5.574264203,M,KG,Gillispie,English,0,,9,24,25,1,,,,SL
022818-TK,4.249144422,M,KG,Gillispie,English,0,,1,1,2,1,,,,KG
022818-TK,5.249144422,M,KG,Gillispie,English,1,,2,7,8,1,,,,KG
022818-TK,6.249144422,M,KG,Gillispie,English,2,,3,26,29,0,,,,KG
022818-TK,7.249144422,M,KG,Gillispie,English,3,,4,30,31,1,,,,KG
022818-TK,8.249144422,M,KG,Gillispie,English,4,,5,62,69,0,,,,KG
022818-TK,9.249144422,M,KG,Gillispie,English,5,,6,83,86,0,,,,KG
022818-TK,10.24914442,M,KG,Gillispie,English,6,,7,95,89,0,,,,KG
022818-TK,11.24914442,M,KG,Gillispie,English,7,,8,71,72,1,,,,KG
022818-TK,12.24914442,M,KG,Gillispie,English,8,,9,24,29,0,,,,KG
040418-LK,5.727583847,F,KG,Gillispie,English,0,,1,1,2,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,2,7,8,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,3,26,27,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,4,30,31,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,5,62,63,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,6,83,84,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,7,95,96,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,8,71,72,1,,,,SL
040418-LK,5.727583847,F,KG,Gillispie,English,0,,9,24,IDK,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,1,1,2,1,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,2,7,6,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,3,26,IDK,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,4,30,IDK,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,5,62,11,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,6,83,5,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,7,95,4,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,8,71,IDK,0,,,,SL
040418-JO,4.156057495,F,KG,Gillispie,English,0,,9,24,IDK,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,1,1,2,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,2,7,8,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,3,26,27,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,4,30,31,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,5,62,63,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,6,83,84,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,7,95,96,1,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,8,71,32,0,,,,SL
041118-EB,5.284052019,M,KG,Little Lamb,English,0,,9,24,45,0,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,1,1,2,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,2,7,8,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,3,26,27,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,4,30,31,1,,,,SL
041118-SS,5.486652977,M,KG,Little Lamb,English,0,,5,62,63,1,,,,SL
