SID,Age,Sex,Primary Language,Exclude_analysis,Exclude_analysis_reason,Exclude_task,Excluded_task,Exclude_task_reason,Task,Trial_number,Task_item,Response_single,Response_double,Response_final,Correct,Notes,Exclude_trial,Exclude_trial_reason
sf-math-1,4.580424367,M,English,0,,0,,,GiveN,1,6,6,6,6,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,GiveN,2,9,9,9,9,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,GiveN,3,7,7,7,7,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,GiveN,4,5,5,5,5,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,Training,1,2,2,2,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,Training,3,4,4,4,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,1,6,7,7,7,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,2,51,52,52,52,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,3,84,85,85,85,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,4,62,64,64,64,0,experimentor error,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,5,57,59,59,59,0,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,6,20,21,21,21,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,7,32,33,33,33,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,8,93,94,94,94,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,9,60,61,61,61,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,10,46,48,48,48,0,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,11,81,82,82,82,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,12,15,17,17,17,0,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,13,73,74,74,74,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,14,34,35,35,35,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,15,95,96,96,96,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,SF,16,7,8,8,8,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,Training,1,2,2,2,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,1,7,8,8,8,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,2,26,29,29,29,0,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,3,30,31,31,31,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,4,62,63,63,63,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,5,83,84,84,84,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,6,95,60,60,60,0,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,7,71,72,72,72,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,WCN,8,24,25,25,25,1,,0,
sf-math-1,4.580424367,M,English,0,,0,,,MF,Training,1,2,2,2,1,,0,
