SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_final,FHC_single,FHC_final,Special_count,Notes,Exclude_trial,Exclude_trial_reason
sf-math-195,109,IDK,110,111,109,109,121,121,0,,0,
sf-math-194,16,18,17,19,16,16,58,58,0,,0,
sf-math-194,27,IDK,28,29,16,16,58,58,0,,0,
sf-math-194,39,IDK,40,41,16,16,58,58,0,,0,
sf-math-194,46,470,47,48,16,16,58,58,0,,0,
sf-math-194,49,IDK,50,51,16,16,58,58,0,,0,
sf-math-194,58,IDK,59,IDK,16,16,58,58,0,"Child could not continue after prompt, RMS prompted a few more but are not included because of that ",0,
sf-math-193,39,50,40,41,39,39,109,109,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",0,
sf-math-193,49,90,50,51,39,39,109,109,0,,0,
sf-math-193,59,70,60,61,39,39,109,109,0,,0,
sf-math-193,69,80,70,71,39,39,109,109,0,,0,
sf-math-193,99,20,100,101,39,39,109,109,0,,0,
sf-math-193,109,infinity,110,101,39,39,109,109,0,,0,
sf-math-192,14,19,15,1,14,14,69,49,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",,
sf-math-192,11,13,12,1,14,14,69,49,0,,1,child started from 1
sf-math-192,13,IDK,14,15,14,14,69,49,0,,1,child started from 1
sf-math-192,39,70,40,41,14,14,69,69,0,,0,
sf-math-192,49,70,50,51,14,14,69,69,0,,0,
sf-math-192,69,79,70,80,14,14,69,69,0,,0,
sf-math-191,49,IDK,50,51,49,49,76,76,0,,0,
sf-math-191,59,40,60,61,49,49,76,76,0,,0,
sf-math-191,65,67,66,67,49,49,76,76,0,,0,
sf-math-191,69,IDK,70,71,49,49,76,76,0,,0,
sf-math-191,76,NA,NA,NA,49,49,76,76,0,Child asked to stop,0,
sf-math-190,20,IDK,21,22,20,20,39,39,0,,0,
sf-math-190,39,IDK,40,NA,20,20,39,39,0,"Child asked to stop, VM prompted a few more but are not included because of that",0,
sf-math-189,49,IDK,50,51,49,49,59,NA,0,No video/ the format entered in data sheet is different in that the prompt encouraging children to count it included,1,no recording of HC
sf-math-189,59,IDK,NA,,49,49,59,NA,0,,1,no recording of HC
sf-math-188,29,50,30,31,29,29,42,42,0,,0,Child counted to 42 and then asked to stop playing game
sf-math-188,39,12,40,41,29,29,42,42,0,Child asked to stop,0,
sf-math-187,97,99,NA,NA,97,97,114,114,0,"Experimetor error, did not catch error",0,
sf-math-187,114,NA,NA,NA,97,97,114,114,0,Child asked to stop,0,
sf-math-186,19,21,20,21,19,19,34,34,0,,0,
sf-math-186,29,22,30,31,19,19,34,34,0,,0,
sf-math-186,33,44,34,45,19,19,34,34,0,,0,
sf-math-185,27,30,28,29,27,27,75,75,0,,0,
sf-math-185,29,20-10,30,31,27,27,75,75,0,,0,
sf-math-185,39,38,40,41,27,27,75,75,0,,0,
sf-math-185,49,20,50,51,27,27,75,75,0,,0,
sf-math-185,59,50-10,60,61,27,27,75,75,0,,0,
sf-math-185,69,60-10,70,71,27,27,75,75,0,,0,
sf-math-185,75,78,76,IDK,27,27,75,75,0,,0,
sf-math-184,11,,prompt,12,11,NA,11,NA,0,Experimentor prompt was unclear. No video to double check,1,no highest count video
sf-math-184,12,,13,NA,12,NA,11,NA,0,,1,no highest count video
sf-math-184,13,,14,NA,13,NA,11,NA,0,,1,no highest count video
sf-math-183,15,17,16,17,15,15,19,19,0,,0,
sf-math-183,19,25,20,30,15,15,19,19,0,,0,
sf-math-182,29,90,31,31,29,29,109,109,0,,0,
sf-math-182,39,90,40,41,29,29,109,109,0,,0,
sf-math-182,49,90,50,51,29,29,109,109,0,,0,
sf-math-182,59,90,60,61,29,29,109,109,0,,0,
sf-math-182,69,90,70,71,29,29,109,109,0,,0,
sf-math-182,71,73,72,73,29,29,109,109,0,,0,
sf-math-182,79,90,80,81,29,29,109,109,0,,0,
sf-math-182,109,IDK,110,101,29,29,109,109,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",0,
sf-math-181,115,IDK,116,117,115,115,120,120,0,,0,
sf-math-181,120,NA,NA,NA,115,115,120,120,0,,0,
sf-math-180,29,IDK,30,31,29,29,31,31,0,Child asked to stop,0,
sf-math-179,12,15,13,1,12,12,25,25,1,counted from 1,0,
sf-math-179,10,9,11,1,12,12,25,25,1,counted from 1,1,child started from 1
sf-math-179,25,NA,NA,NA,12,12,25,25,0,child asked to stop,0,
sf-math-178,35,37,36,37,37,37,120,120,0,,0,
sf-math-178,118,IDK,119,120,37,37,120,120,0,,0,
sf-math-177,14,16,15,20,14,14,14,14,1,"after prompt, started counting from 20 but KG corrected the child and the child started counting from 38",0,
sf-math-176,28,90,29,29,28,28,28,28,0,,0,
sf-math-174,29,20,30,40,29,29,29,29,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",0,
sf-math-172,100,102,101,102,100,100,109,109,0,,0,
sf-math-172,109,111,110,30-100,100,100,109,109,1,"after prompt started to count from 1; skipped numbers, but can't tell if correct count",0,
sf-math-171,19,21,20,1,19,19,19,19,1,counted from 1,0,
sf-math-171,19,21,,,19,19,19,19,0,Made the same mistake after being prompted,0,
sf-math-167,109,IDK,110,11 - 100,109,109,109,109,0,,0,
sf-math-166,14,16,15,16,15,15,39,39,0,,0,
sf-math-166,20,15,21,22,15,15,39,39,0,,0,
sf-math-166,39,8,40,80,15,15,39,39,0,"RMS prompted a few more after the child made the error after the prompt, it's not included here ",0,
sf-math-165,69,IDK,70,71,69,69,109,109,0,child asked to stop,0,
